,i,ch_1,ch_2,ch_3,ch_4,to_select,importance_score
0,3577,0.5532746823069403,0.4916911045943304,0.5073313782991202,0.512218963831867,0.0,-0.354141415857296
1,3577,0.5190615835777126,0.5239491691104594,0.5043988269794721,0.5073313782991202,0.0,-0.3553745471841544
2,3577,0.5171065493646139,0.5425219941348973,0.501466275659824,0.5073313782991202,0.0,-0.35660767851101277
3,3577,0.520039100684262,0.5317693059628543,0.5043988269794721,0.512218963831867,0.0,-0.35784080983787103
4,3577,0.5298142717497556,0.5043988269794721,0.5102639296187683,0.5073313782991202,0.0,-0.35907394116472946
5,3577,0.5395894428152492,0.46920821114369504,0.5102639296187683,0.49853372434017595,0.0,-0.3603070724915878
6,3577,0.5288367546432062,0.45943304007820135,0.5073313782991202,0.5073313782991202,0.0,-0.3615402038184462
7,3577,0.5210166177908113,0.46432062561094817,0.512218963831867,0.5141739980449658,0.0,-0.3627733351453045
8,3577,0.5317693059628543,0.47702834799608995,0.5161290322580645,0.5141739980449658,0.0,-0.36400646647216295
9,3577,0.5386119257086999,0.4946236559139785,0.5210166177908113,0.5102639296187683,0.0,-0.36523959779902126
10,3577,0.5347018572825024,0.5073313782991202,0.5141739980449658,0.509286412512219,0.0,-0.3664727291258797
11,3577,0.5268817204301075,0.5171065493646139,0.5210166177908113,0.5073313782991202,0.0,-0.367705860452738
12,3577,0.509286412512219,0.5327468230694037,0.5190615835777126,0.5102639296187683,0.0,-0.36893899177959644
13,3577,0.5141739980449658,0.5327468230694037,0.5131964809384164,0.509286412512219,0.0,-0.37017212310645475
14,3577,0.5210166177908113,0.49853372434017595,0.5102639296187683,0.5073313782991202,0.0,-0.3714052544333132
15,3577,0.52297165200391,0.4887585532746823,0.5102639296187683,0.512218963831867,0.0,-0.3726383857601715
16,3577,0.5034213098729228,0.4809384164222874,0.5073313782991202,0.5141739980449658,0.0,-0.3738715170870299
17,3577,0.5073313782991202,0.48484848484848486,0.5102639296187683,0.5073313782991202,0.0,-0.37510464841388824
18,3577,0.5073313782991202,0.4916911045943304,0.5004887585532747,0.501466275659824,0.0,-0.37633777974074667
19,3577,0.52297165200391,0.501466275659824,0.5073313782991202,0.5004887585532747,0.0,-0.37757091106760493
20,3577,0.5259042033235581,0.5171065493646139,0.4975562072336266,0.5043988269794721,0.0,-0.3788040423944633
21,3577,0.5366568914956011,0.5268817204301075,0.4946236559139785,0.512218963831867,0.0,-0.3800371737213217
22,3577,0.5347018572825024,0.5239491691104594,0.5063538611925709,0.5063538611925709,0.0,-0.38127030504818005
23,3577,0.5268817204301075,0.5327468230694037,0.5102639296187683,0.5004887585532747,0.0,-0.3825034363750384
24,3577,0.5288367546432062,0.5259042033235581,0.5043988269794721,0.501466275659824,0.0,-0.3837365677018968
25,3577,0.5131964809384164,0.5327468230694037,0.5102639296187683,0.501466275659824,0.0,-0.38496969902875516
26,3577,0.5210166177908113,0.512218963831867,0.501466275659824,0.5034213098729228,0.0,-0.38620283035561354
27,3577,0.5483870967741935,0.5073313782991202,0.501466275659824,0.520039100684262,0.0,-0.3874359616824719
28,3577,0.5689149560117303,0.5073313782991202,0.5102639296187683,0.5141739980449658,0.0,-0.3886690930093303
29,3577,0.5767350928641252,0.5034213098729228,0.512218963831867,0.5141739980449658,0.0,-0.38990222433618865
30,3577,0.5689149560117303,0.5239491691104594,0.5102639296187683,0.52297165200391,0.0,-0.391135355663047
31,3577,0.5767350928641252,0.52297165200391,0.5141739980449658,0.52297165200391,0.0,-0.3923684869899054
