,comp_1,comp_2,label,importance_score
0,111.81679,50.031334,0,-0.5025731406415227
1,74.774895,87.12858,0,-0.9702385148631183
2,110.46506,-11.635657,0,-0.9847843966631418
3,83.45338,-79.82842,0,-0.988767477382211
4,65.00436,9.971451,0,-0.6708142403947832
5,65.7728,9.571439,0,-0.6656797086123839
6,65.748665,9.563764,0,-0.6815180354834919
7,65.67408,9.617055,0,-0.6395018211726001
8,65.74134,9.723753,0,-0.5964868993067795
9,66.131874,9.533945,0,-0.5706849958876747
10,66.114426,9.402179,0,-0.5570438256374104
11,66.02105,9.674018,0,-0.5707672423921983
12,65.97568,9.62979,0,-0.5731523910233816
13,66.01412,9.694908,0,-0.5678063682293503
14,66.120766,9.668544,0,-0.5513570673246387
15,66.56211,9.313463,0,-0.5033956056867583
16,68.71707,4.8200574,0,-0.4927975561038656
17,68.89591,4.410493,0,-0.47589002467395136
18,68.944885,4.243413,0,-0.4751615556338855
19,68.84605,4.4408884,0,-0.4971448713429679
20,69.06225,4.193705,0,-0.5347667724121724
21,69.59031,3.9753854,0,-0.5455175655034661
22,69.86929,3.8116195,0,-0.5423217013276936
23,69.911674,4.0135536,0,-0.5222418047232992
24,70.24454,4.725476,0,-0.5500763717542004
25,70.04933,5.9853363,0,-0.5432146633768065
26,62.967407,13.293265,0,-0.5603101868170604
27,62.828262,13.439248,0,-0.5808600634473036
28,62.70025,13.645339,0,-0.5605804253319234
29,62.26946,14.078725,0,-0.5051110327811068
30,62.205425,14.05396,0,-0.5096110915286101
31,61.76664,13.872457,0,-0.5390553401480437
32,61.671143,13.831951,0,-0.5066149688638233
33,61.475697,13.716933,0,-0.48454940665021734
34,61.39489,13.635022,0,-0.47062624838444367
35,61.31589,13.554925,0,-0.4737868640582775
36,61.19611,13.574781,0,-0.4426389378451416
37,61.15977,13.577733,0,-0.4170955234402538
38,60.992798,13.57012,0,-0.3754552931500411
39,60.888985,13.455341,0,-0.27214193396780634
40,60.844696,13.650357,0,-0.1721184349665139
41,60.8878,13.903291,0,-0.07028551286570323
42,60.77319,23.30362,0,-0.0020444131124427167
43,60.39178,23.453018,0,-0.04874867818117731
44,59.98951,23.462557,0,-0.0898366819410175
45,59.535854,23.399889,0,-0.11525085183879685
46,59.366177,23.366047,0,-0.14139349077664198
47,59.311245,23.406187,0,-0.1585947597227118
48,59.30444,23.30036,0,-0.16031018681706027
49,59.297195,23.199903,0,-0.1496768887322289
50,59.31009,23.063349,0,-0.1349900129244507
51,59.319115,22.847626,0,-0.10856538597109622
52,77.25117,24.956753,0,-0.06468100105745506
53,77.15042,25.036425,0,-0.011960991657854553
54,76.972534,25.123806,0,-0.03542474444836094
55,76.68556,25.229248,0,-0.07577252966748912
56,73.682976,-4.201187,0,-0.1467042650687346
57,73.76379,-4.2088704,0,-0.21878745153330983
58,79.139015,-7.405963,0,-0.3002349900129244
59,79.731705,-7.0342293,0,-0.40307836916931034
60,79.105316,-5.940031,0,-0.46763012571965695
61,78.81445,-5.5694795,0,-0.49648689930677947
62,78.69347,-5.49598,0,-0.49804958289272705
63,78.62367,-5.431742,0,-0.5108682880977559
64,78.61505,-5.513643,0,-0.4828104805545764
65,76.11895,-3.467321,0,-0.4927740571025731
66,75.917305,-3.407837,0,-0.49278580660321936
67,60.034355,13.959398,0,-0.48297497356362357
68,60.045845,13.920776,0,-0.46156738338620606
69,60.060787,13.753052,0,-0.44642227705322524
70,60.0835,13.550635,0,-0.45639760310186817
71,60.04846,13.384876,0,-0.43920808365644465
72,59.730625,13.140841,0,-0.45740806015744334
73,59.629074,13.071996,0,-0.4569968276348255
74,59.59662,12.990595,0,-0.4473504876042768
75,59.46021,13.000871,0,-0.45442368699330277
76,59.60845,13.089438,0,-0.43570673246387026
77,59.56018,13.038078,0,-0.47934437786394074
78,59.567276,12.951426,0,-0.4675596287157796
79,59.5952,12.8413515,0,-0.47848666431676656
80,59.574116,12.811584,0,-0.46962754082951474
81,59.70446,12.723529,0,-0.46523322758782754
82,59.751526,12.664502,0,-0.4757372811655505
83,59.70895,12.562435,0,-0.4707554928915521
84,59.99157,12.518854,0,-0.4988485489366702
85,59.85217,12.54456,0,-0.4883797438608859
86,82.938576,-79.13542,0,-0.8220303137116671
87,98.81992,-27.506945,0,-0.751004582305252
88,83.74294,73.169304,0,-0.7130771942192455
89,112.60645,35.684963,0,-0.32559041240747266
90,109.9953,50.59503,0,-0.5362824579955352
91,76.1094,86.78252,0,-0.9833157090823639
92,111.87298,-13.700323,0,-0.9944424861943366
93,84.546715,-81.9224,0,-0.9936435201503935
94,84.448814,0.7475061,0,-0.7206086241334742
95,84.50613,0.88039136,0,-0.6739748560686171
96,84.299255,8.343984,0,-0.6261073904359065
97,84.07441,8.527901,0,-0.5662436846434026
98,84.59268,1.2031443,0,-0.5511808248149455
99,85.07856,0.89520776,0,-0.568534837269416
100,84.4051,1.3173296,0,-0.5237339913053695
101,84.17383,1.4035251,0,-0.5203736341205499
102,74.93231,8.68668,0,-0.5167547879215133
103,74.72552,8.842807,0,-0.48111855246152035
104,74.76435,8.773809,0,-0.487063799788509
105,74.91443,8.588577,0,-0.4977675948772177
106,74.855965,8.423306,0,-0.5144166372929151
107,74.71617,8.347132,0,-0.5088121254846669
108,74.75822,8.265365,0,-0.5046058042533192
109,74.948456,8.040035,0,-0.5326636117964987
110,75.07013,7.858508,0,-0.5608624133474327
111,76.07881,10.448022,0,-0.4976853483726942
112,76.081985,10.438045,0,-0.5045823052520267
113,76.0503,10.427241,0,-0.5309011866995653
114,75.969284,10.408321,0,-0.5397955586887557
115,76.003265,10.441153,0,-0.5468570085771354
116,75.92885,10.652941,0,-0.5608389143461403
117,75.94503,10.8085,0,-0.5169427799318529
118,75.97,11.0000515,0,-0.5165080484079426
119,76.02511,11.155557,0,-0.49757960286687813
120,84.02933,8.421932,0,-0.5063564798496064
121,84.39157,8.511818,0,-0.47329338503113616
122,84.52569,8.433257,0,-0.471013981905769
123,82.526505,13.672101,0,-0.4277640700270238
124,82.42015,13.674539,0,-0.37543179414874867
125,82.211464,13.818474,0,-0.2963459052990248
126,70.69854,17.874136,0,-0.208870872987898
127,70.006996,19.048529,0,-0.11138526612618962
128,69.9481,19.156448,0,-0.054223945482317015
129,60.04569,23.401268,0,-0.007472682410997522
130,59.78238,23.320389,0,-0.006708964868993056
131,59.478283,23.271412,0,-0.02563741041005757
132,59.363472,23.19005,0,-0.03057220068147104
133,59.223106,23.07569,0,-0.03197039125837153
134,59.110107,22.903013,0,-0.029561743625895892
135,59.061993,22.742134,0,-0.014064152273528363
136,59.0217,22.634695,0,-0.005592762307601917
137,59.03226,22.59786,0,-0.012853953706967458
138,59.124485,22.626444,0,-0.006250734343790393
139,59.1517,22.622543,0,-0.0008929620491129053
140,59.163567,22.49839,0,-0.010527552579015387
141,59.441833,22.32481,0,-0.009493596522147818
142,59.56865,22.150503,0,-0.00022324051227823327
143,77.208786,25.113153,0,-0.020103395605686747
144,77.197075,25.288008,0,-0.06778286922805782
145,77.15913,25.475473,0,-0.12152508518387967
146,77.18966,25.604225,0,-0.18115380096345907
147,90.47858,-6.2013445,0,-0.25893549524145226
148,90.36784,-6.22498,0,-0.3845611561508636
149,81.43852,-9.4240055,0,-0.5309364352015039
150,81.47143,-9.111491,0,-0.6231935142756433
151,81.34459,-9.0596895,0,-0.6088473739866055
152,79.55141,-8.67236,0,-0.5494653977205969
153,79.660774,-8.661121,0,-0.5498178827399836
154,79.86333,-8.701653,0,-0.5837621901069204
155,78.7502,-9.085204,0,-0.548466690165668
156,78.68666,-9.173508,0,-0.5771824697450358
157,78.11078,-9.053394,0,-0.5803195864175772
158,77.95633,-9.166327,0,-0.5969803783339208
159,77.90082,-9.287896,0,-0.6181764774997063
160,77.92,-9.512659,0,-0.6421924568205851
161,77.94027,-9.873255,0,-0.6762542591939843
162,77.95333,-9.894617,0,-0.6923628245799553
163,77.93986,-9.884895,0,-0.692926800610974
164,79.05236,-10.144893,0,-0.7055810128069557
165,79.11344,-10.127228,0,-0.7113265186229585
166,79.10579,-10.119224,0,-0.6860533427329338
167,77.39987,-4.6482434,0,-0.6381153800963459
168,77.49542,-4.004699,0,-0.6558806250734344
169,77.53107,-3.9262967,0,-0.6285982845729057
170,77.67233,-3.9110389,0,-0.6076959229232758
171,77.97711,-3.9634895,0,-0.5817060274938315
172,78.26479,-4.128811,0,-0.5781106802960875
173,78.464195,-4.03299,0,-0.5709434849018916
174,78.31472,-3.9048145,0,-0.5460345435318998
175,78.12988,-3.5392363,0,-0.5657032076136764
176,85.414345,-80.988686,0,-0.9065444718599458
177,105.09094,-24.350794,0,-0.8394313241687228
178,80.4883,81.44759,0,-0.798049582892727
179,109.5438,50.826797,0,-0.349101163200564
180,111.04191,52.013855,0,-0.47314064152273533
181,77.05273,86.419304,0,-0.9169192809305604
182,112.59291,-13.757796,0,-0.9437081424039477
183,83.24231,-81.21619,0,-0.954012454470685
184,68.185524,18.115211,0,-0.45853601221948065
185,68.37566,18.172878,0,-0.4197626600869463
186,68.359055,18.381952,0,-0.36525672658911995
187,68.42914,18.27223,0,-0.3315474092351075
188,68.529106,18.330338,0,-0.31854071201973916
189,68.50284,18.280634,0,-0.3277405710257314
