,i,ch_1,ch_2,ch_3,ch_4,true_label,pred_label
0,7324,0.4916911045943304,0.5131964809384164,0.501466275659824,0.5034213098729228,0.0,0
1,7324,0.5073313782991202,0.5239491691104594,0.5063538611925709,0.5034213098729228,0.0,0
2,7324,0.5141739980449658,0.5268817204301075,0.509286412512219,0.49853372434017595,0.0,0
3,7324,0.5141739980449658,0.5210166177908113,0.5073313782991202,0.4965786901270772,0.0,0
4,7324,0.5171065493646139,0.5171065493646139,0.501466275659824,0.49853372434017595,0.0,0
5,7324,0.5102639296187683,0.5043988269794721,0.5034213098729228,0.49853372434017595,0.0,0
6,7324,0.48484848484848486,0.4946236559139785,0.501466275659824,0.4965786901270772,0.0,0
7,7324,0.4662756598240469,0.49853372434017595,0.5043988269794721,0.4916911045943304,0.0,0
8,7324,0.46432062561094817,0.5171065493646139,0.501466275659824,0.4975562072336266,0.0,0
9,7324,0.46920821114369504,0.5141739980449658,0.501466275659824,0.49853372434017595,0.0,0
10,7324,0.46920821114369504,0.5102639296187683,0.5034213098729228,0.4946236559139785,0.0,0
11,7324,0.47116324535679377,0.5102639296187683,0.5043988269794721,0.49853372434017595,0.0,0
12,7324,0.4780058651026393,0.512218963831867,0.5043988269794721,0.501466275659824,0.0,0
13,7324,0.4838709677419355,0.5102639296187683,0.5034213098729228,0.5004887585532747,0.0,0
14,7324,0.48484848484848486,0.501466275659824,0.501466275659824,0.501466275659824,0.0,0
15,7324,0.5034213098729228,0.48778103616813295,0.4946236559139785,0.501466275659824,0.0,0
16,7324,0.5298142717497556,0.5004887585532747,0.4975562072336266,0.5004887585532747,0.0,0
17,7324,0.5532746823069403,0.501466275659824,0.49853372434017595,0.5004887585532747,0.0,0
18,7324,0.5767350928641252,0.49853372434017595,0.4965786901270772,0.5043988269794721,0.0,0
19,7324,0.5874877810361682,0.49364613880742914,0.4916911045943304,0.5063538611925709,0.0,0
20,7324,0.581622678396872,0.49071358748778104,0.49853372434017595,0.5073313782991202,0.0,0
21,7324,0.5767350928641252,0.4946236559139785,0.49853372434017595,0.5004887585532747,0.0,0
22,7324,0.5454545454545454,0.5073313782991202,0.501466275659824,0.5004887585532747,0.0,0
23,7324,0.5366568914956011,0.5131964809384164,0.49853372434017595,0.501466275659824,0.0,0
24,7324,0.5239491691104594,0.5102639296187683,0.501466275659824,0.501466275659824,0.0,0
25,7324,0.52297165200391,0.5043988269794721,0.5034213098729228,0.4946236559139785,0.0,0
26,7324,0.5268817204301075,0.4916911045943304,0.501466275659824,0.4946236559139785,0.0,0
27,7324,0.52297165200391,0.48778103616813295,0.5034213098729228,0.4975562072336266,0.0,0
28,7324,0.5102639296187683,0.4916911045943304,0.5034213098729228,0.4916911045943304,0.0,0
